Předmět;Počátečnídatum;Začátek;Koncovédatum;Konec;Celodennízvlátníudálost;Připomenutízapnutočivypnuto;Počátečnídatum;Časpřipomenutí;Organizátorschůzek;Povinníúčastníci;Nepovinníúčastníci;Prostředkyproschůzku;Faktury;Kategorie;Popis;Priorita;Soukromé;Umístění;Utajení;Vzdálenost;Zobrazitčasjako
Vezmi a čti Lv 5–8;23.11.2013;0:00:00;24.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;23.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-23;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lv 9–12;25.11.2013;0:00:00;26.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;25.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-25;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lv 13–15;26.11.2013;0:00:00;27.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;26.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-26;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lv 16–19;27.11.2013;0:00:00;28.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;27.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-27;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lv 20–23;28.11.2013;0:00:00;29.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;28.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-28;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lv 24–27;02.12.2013;0:00:00;03.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;02.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-02;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 1–3;03.12.2013;0:00:00;04.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;03.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-03;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 4–6;04.12.2013;0:00:00;05.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;04.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-04;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 7–9;05.12.2013;0:00:00;06.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;05.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-05;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 10–12;06.12.2013;0:00:00;07.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;06.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-06;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 13–15;07.12.2013;0:00:00;08.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;07.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 16–18;09.12.2013;0:00:00;10.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;09.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-09;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 19–21;10.12.2013;0:00:00;11.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;10.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 22–25;11.12.2013;0:00:00;12.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;11.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sk 26–28;12.12.2013;0:00:00;13.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;12.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 1–3 ;13.12.2013;0:00:00;14.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;13.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-13;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 4–7;14.12.2013;0:00:00;15.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;14.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 8–10;16.12.2013;0:00:00;17.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;16.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-16;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 11–14;17.12.2013;0:00:00;18.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;17.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-17;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 15–17;18.12.2013;0:00:00;19.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;18.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-18;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 18–21;19.12.2013;0:00:00;20.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;19.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-19;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 22–24;20.12.2013;0:00:00;21.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;20.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-20;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 25–27;21.12.2013;0:00:00;22.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;21.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-21;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 28–30;23.12.2013;0:00:00;24.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;23.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-23;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 31–33;24.12.2013;0:00:00;25.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;24.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-24;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nm 34–36;25.12.2013;0:00:00;26.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;25.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-25;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gal 1–3 ;26.12.2013;0:00:00;27.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;26.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-26;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gal 4–6;27.12.2013;0:00:00;28.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;27.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-27;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 1–4;28.12.2013;0:00:00;29.12.2013;0:00:00;NEPRAVDA;NEPRAVDA;28.12.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-12-28;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 5–7;01.01.2014;0:00:00;02.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;01.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-01;Střední;NEPRAVDA;;Normální;;3
